applicable,audit_file,calculation_reason,denominator,metric_name,numerator,observation_value,patient,question_id,question_number,reason_not_applicable,system,turn_id
True,latency_definition_audit.csv,stored_provider_generation_latency_ms_excludes_external_request_delay_column,1,provider_generation_latency_ms,22490,22490,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,,dense_rag,e1936e97-d490-4707-b13b-03ca9e74b7e1
True,latency_definition_audit.csv,stored_retrieval_or_csm_activation_duration_ms,1,retrieval_activation_latency_ms,34,34,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,,dense_rag,e1936e97-d490-4707-b13b-03ca9e74b7e1
True,latency_definition_audit.csv,primary_processing_latency_excludes_intentional_request_delay_and_quota_backoff,1,processing_latency_ms,22490,22490,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,,dense_rag,e1936e97-d490-4707-b13b-03ca9e74b7e1
True,latency_definition_audit.csv,retrieval_plus_provider_generation_latency_without_configured_request_delay,1,operational_wall_clock_latency_ms,22524,22524,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,,dense_rag,e1936e97-d490-4707-b13b-03ca9e74b7e1
True,latency_definition_audit.csv,stored_llm_call_processing_duration_ms,1,p95_latency,22490,22490,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,,dense_rag,e1936e97-d490-4707-b13b-03ca9e74b7e1
True,latency_definition_audit.csv,stored_provider_generation_latency_ms_excludes_external_request_delay_column,1,provider_generation_latency_ms,126244,126244,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,,graph_rag,ee13d69e-8db6-4aa0-a80e-6ee78712258b
True,latency_definition_audit.csv,stored_retrieval_or_csm_activation_duration_ms,1,retrieval_activation_latency_ms,7,7,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,,graph_rag,ee13d69e-8db6-4aa0-a80e-6ee78712258b
True,latency_definition_audit.csv,primary_processing_latency_excludes_intentional_request_delay_and_quota_backoff,1,processing_latency_ms,126244,126244,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,,graph_rag,ee13d69e-8db6-4aa0-a80e-6ee78712258b
True,latency_definition_audit.csv,retrieval_plus_provider_generation_latency_without_configured_request_delay,1,operational_wall_clock_latency_ms,126251,126251,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,,graph_rag,ee13d69e-8db6-4aa0-a80e-6ee78712258b
True,latency_definition_audit.csv,stored_llm_call_processing_duration_ms,1,p95_latency,126244,126244,SYN-CSM-003,06cc89c6-952c-4a40-bd0c-02a072635e1f,3,,graph_rag,ee13d69e-8db6-4aa0-a80e-6ee78712258b
