metric_name,comparison,paired_sample_count,mean_difference,median_difference,effect_size,raw_p_value,adjusted_p_value,ci_low,ci_high,test_result,reason
activation_recall,csm_v4_vs_csm,60,0.07657858345358344,0.0,0.37993885020511736,0.028959274291992188,0.05144998216137443,0.025424670815295813,0.12834626773689273,computed,NULL
activation_recall,csm_v4_vs_csm_v3,60,0.18212481962481963,0.14646464646464646,0.8877297222144542,4.656612873077393e-10,2.767205580897715e-09,0.133402417027417,0.2327039141414142,computed,NULL
answer_accuracy,csm_v4_vs_long_context,52,0.045604395604395595,0.0,0.2484008152163611,0.3017578125,0.41381641661140584,-0.0014045329670329596,0.099029304029304,computed,NULL
answer_accuracy,csm_v4_vs_rolling_summary,57,0.05831497936761094,0.0,0.2677914012176952,0.0308837890625,0.054125148967161016,0.004358750411381993,0.11217469177995494,computed,NULL
answer_accuracy,csm_v4_vs_dense_rag,59,-0.004766184850930614,0.0,-0.021393997099095185,1.0,1.0,-0.06112210176828821,0.05548852630420423,computed,NULL
answer_accuracy,csm_v4_vs_hybrid_rag,59,0.0014829249624862756,0.0,0.007751495367189837,0.803619384765625,0.9031983085300611,-0.04883265247547402,0.04987392080612416,computed,NULL
answer_accuracy,csm_v4_vs_graph_rag,60,-0.0190034965034965,0.0,-0.12187790485281201,0.8145294189453125,0.9134744242835717,-0.05772929616679616,0.019858333795833783,computed,NULL
answer_accuracy,csm_v4_vs_hippo_rag,59,0.012472179421331966,0.0,0.06391761488800832,0.8145294189453125,0.9114972069149926,-0.03372227113752537,0.06380408198204805,computed,NULL
answer_accuracy,csm_v4_vs_csm,59,0.031588472980087615,0.0,0.14520948357064983,0.4048728942871094,0.5130374665353813,-0.027382929910806805,0.08700801342081445,computed,NULL
answer_accuracy,csm_v4_vs_csm_v3,56,0.0656063182848897,0.0,0.28993666202931934,0.0308837890625,0.05394229373416385,0.00934108302411874,0.123464491857349,computed,NULL
contradiction_handling,csm_v4_vs_long_context,1,0.0,0.0,NULL,NULL,NULL,0.0,0.0,N/A,insufficient_paired_observations
contradiction_handling,csm_v4_vs_rolling_summary,1,0.0,0.0,NULL,NULL,NULL,0.0,0.0,N/A,insufficient_paired_observations
contradiction_handling,csm_v4_vs_dense_rag,1,0.0,0.0,NULL,NULL,NULL,0.0,0.0,N/A,insufficient_paired_observations
contradiction_handling,csm_v4_vs_hybrid_rag,1,0.0,0.0,NULL,NULL,NULL,0.0,0.0,N/A,insufficient_paired_observations
contradiction_handling,csm_v4_vs_graph_rag,1,0.0,0.0,NULL,NULL,NULL,0.0,0.0,N/A,insufficient_paired_observations
contradiction_handling,csm_v4_vs_hippo_rag,1,0.0,0.0,NULL,NULL,NULL,0.0,0.0,N/A,insufficient_paired_observations
contradiction_handling,csm_v4_vs_csm,1,0.0,0.0,NULL,NULL,NULL,0.0,0.0,N/A,insufficient_paired_observations
contradiction_handling,csm_v4_vs_csm_v3,1,0.0,0.0,NULL,NULL,NULL,0.0,0.0,N/A,insufficient_paired_observations
correction_recovery,csm_v4_vs_long_context,23,0.20652173913043478,0.0,0.6343915351294689,0.00390625,0.008742559523809524,0.09782608695652174,0.34782608695652173,computed,NULL
correction_recovery,csm_v4_vs_rolling_summary,23,-0.11956521739130435,0.0,-0.4811218773549642,0.0390625,0.06709406146179402,-0.22826086956521738,-0.03260869565217391,computed,NULL
correction_recovery,csm_v4_vs_dense_rag,23,-0.043478260869565216,0.0,-0.20851441405707474,0.453125,0.5631385216346154,-0.11956521739130435,0.03260869565217391,computed,NULL
correction_recovery,csm_v4_vs_hybrid_rag,23,-0.043478260869565216,0.0,-0.17672963223631047,0.2890625,0.4006576742627346,-0.13043478260869565,0.06005434782608671,computed,NULL
correction_recovery,csm_v4_vs_graph_rag,23,-0.10869565217391304,0.0,-0.41932231284065463,0.125,0.1982361963190184,-0.2230978260869565,-0.021739130434782608,computed,NULL
correction_recovery,csm_v4_vs_hippo_rag,23,-0.043478260869565216,0.0,-0.1621608161220607,0.7265625,0.8219536378555798,-0.16304347826086957,0.05434782608695652,computed,NULL
correction_recovery,csm_v4_vs_csm,23,-0.06521739130434782,0.0,-0.4213061587803652,0.125,0.19762996941896024,-0.13043478260869565,0.0,computed,NULL
correction_recovery,csm_v4_vs_csm_v3,23,0.043478260869565216,0.0,0.17672963223631044,1.0,1.0,-0.03260869565217391,0.14130434782608695,computed,NULL
decision_f1,csm_v4_vs_long_context,3,0.0,0.0,NULL,NULL,NULL,0.0,0.0,computed,NULL
decision_f1,csm_v4_vs_rolling_summary,3,0.0,0.0,NULL,NULL,NULL,0.0,0.0,computed,NULL
decision_f1,csm_v4_vs_dense_rag,3,0.0,0.0,NULL,NULL,NULL,0.0,0.0,computed,NULL
decision_f1,csm_v4_vs_hybrid_rag,3,0.0,0.0,NULL,NULL,NULL,0.0,0.0,computed,NULL
decision_f1,csm_v4_vs_graph_rag,3,0.0,0.0,NULL,NULL,NULL,0.0,0.0,computed,NULL
decision_f1,csm_v4_vs_hippo_rag,3,0.0,0.0,NULL,NULL,NULL,0.0,0.0,computed,NULL
decision_f1,csm_v4_vs_csm,3,0.0,0.0,NULL,NULL,NULL,0.0,0.0,computed,NULL
decision_f1,csm_v4_vs_csm_v3,3,0.0,0.0,NULL,NULL,NULL,0.0,0.0,computed,NULL
evidence_support_rate,csm_v4_vs_long_context,52,0.14142628205128205,0.0,0.47618821799902256,0.004077315330505371,0.009047090239790887,0.06509415064102564,0.23218149038461539,computed,NULL
evidence_support_rate,csm_v4_vs_rolling_summary,57,0.024926900584795315,0.0,0.12294011516579803,0.8238029479980469,0.9198836373973871,-0.02785453216374269,0.07701937134502923,computed,NULL
evidence_support_rate,csm_v4_vs_dense_rag,59,0.012288135593220343,0.0,0.06007282810754078,0.6900379657745361,0.7875267733011814,-0.04312146892655366,0.06751412429378532,computed,NULL
evidence_support_rate,csm_v4_vs_hybrid_rag,59,-0.003107344632768364,0.0,-0.01634873221122239,0.6476058959960938,0.7592114472335159,-0.05028954802259887,0.04584392655367231,computed,NULL
evidence_support_rate,csm_v4_vs_graph_rag,60,-0.034583333333333334,0.0,-0.23754482960211476,0.237884521484375,0.34162860446506077,-0.07326736111111111,-0.00012500000000001534,computed,NULL
evidence_support_rate,csm_v4_vs_hippo_rag,59,-0.004872881355932205,0.0,-0.028592550814596364,0.6476058959960938,0.7574937742759739,-0.04655014124293787,0.04060734463276836,computed,NULL
evidence_support_rate,csm_v4_vs_csm,59,0.046933010492332526,0.0,0.23426637794839292,0.21003961563110352,0.30937459054495875,0.0010416666666666658,0.09843876109765941,computed,NULL
evidence_support_rate,csm_v4_vs_csm_v3,56,0.10833333333333336,0.0,0.493680234670751,0.0005335211753845215,0.0015239251252696,0.051622023809523805,0.16386160714285714,computed,NULL
expected_calibration_error,csm_v4_vs_long_context,27,0.07561728395061726,0.024999999999999967,0.314967957946821,0.30745625495910645,0.42051556564512704,-0.005820987654321011,0.1749274691358023,computed,NULL
expected_calibration_error,csm_v4_vs_rolling_summary,44,-0.07450946969696974,-0.050000000000000044,-0.37096956250135665,0.00011222142620681552,0.000376743359408595,-0.12352964015151516,-0.005800426136363691,computed,NULL
expected_calibration_error,csm_v4_vs_dense_rag,47,0.03254787234042549,0.04999999999999993,0.16458224407160793,0.00660882284228137,0.014060746540985465,-0.026941400709219895,0.08737349290780135,computed,NULL
expected_calibration_error,csm_v4_vs_hybrid_rag,45,-0.015064814814814826,-0.0,-0.06410765635253642,0.617719317029696,0.7392613122785945,-0.0842178240740741,0.050072453703703654,computed,NULL
expected_calibration_error,csm_v4_vs_graph_rag,48,-0.061268601190476224,-0.04999999999999999,-0.3507887449655393,0.11727520595741225,0.18829590521733583,-0.11406308903769843,-0.014679253472222249,computed,NULL
expected_calibration_error,csm_v4_vs_hippo_rag,47,-0.0601081560283688,-0.025000000000000022,-0.3151547547273439,0.26818725105476915,0.3727226042884829,-0.11616821808510637,-0.013250886524822706,computed,NULL
expected_calibration_error,csm_v4_vs_csm,48,-0.03764012896825398,-0.0,-0.20104583108451363,0.13604594767093658,0.210586092652318,-0.08773476562499997,0.013028385416666665,computed,NULL
