adjusted_p_value,ci_high,ci_low,comparison,effect_size,mean_difference,median_difference,metric_name,paired_sample_count,raw_p_value,reason,test_result
0.04331850538066789,-0.05926540473415476,-0.18003915875790874,csm_vs_dense_rag,-0.8781055362150962,-0.12149683649683649,-0.14835164835164835,retrieval_precision,20,0.0192108154296875,,computed
0.001402479229551373,-0.07541145833333338,-0.16467038690476188,csm_vs_hybrid_rag,-1.1476775996054835,-0.11982142857142855,-0.14285714285714285,retrieval_precision,20,0.0004024505615234375,,computed
0.020639328729538692,-0.06572222222222222,-0.15629885912698413,csm_vs_graph_rag,-1.0837235993987058,-0.11198412698412699,-0.12976190476190474,retrieval_precision,20,0.007537841796875,,computed
0.013048220903445512,-0.08184548611111112,-0.1690897817460317,csm_vs_hippo_rag,-1.2449351010968561,-0.1250099206349206,-0.1464285714285714,retrieval_precision,20,0.004425048828125,,computed
0.020419034090909092,0.20569460227272726,0.050672348484848494,csm_vs_long_context,0.6229679509445533,0.11683712121212123,0.0,retrieval_recall,20,0.0078125,,computed
0.2270660400390625,0.0032994002525252326,-0.2842090999278499,csm_vs_rolling_summary,-0.42642308395965123,-0.1416958273208273,-0.04976851851851852,retrieval_recall,20,0.11846923828125,,computed
0.012652748509457237,-0.09383734668109672,-0.3158228264790764,csm_vs_dense_rag,-0.7955987165201375,-0.2087776575276575,-0.2792207792207792,retrieval_recall,20,0.004180908203125,,computed
0.00012101798221982759,-0.20755516474266475,-0.4044141414141414,csm_vs_hybrid_rag,-1.3366699617744364,-0.30380922318422315,-0.3333333333333333,retrieval_recall,20,3.0517578125e-05,,computed
6.499113859953704e-05,-0.23459284812409825,-0.40564502164502164,csm_vs_graph_rag,-1.6980699035609865,-0.32826539201539207,-0.4,retrieval_recall,20,1.52587890625e-05,,computed
3.6557515462239586e-05,-0.2622246873496874,-0.43749639249639244,csm_vs_hippo_rag,-1.8173376548892792,-0.35076539201539203,-0.3666666666666667,retrieval_recall,20,7.62939453125e-06,,computed
,,,csm_vs_long_context,,,,state_accuracy,0,,insufficient_paired_observations,N/A
,,,csm_vs_rolling_summary,,,,state_accuracy,0,,insufficient_paired_observations,N/A
,,,csm_vs_dense_rag,,,,state_accuracy,0,,insufficient_paired_observations,N/A
,,,csm_vs_hybrid_rag,,,,state_accuracy,0,,insufficient_paired_observations,N/A
,,,csm_vs_graph_rag,,,,state_accuracy,0,,insufficient_paired_observations,N/A
,,,csm_vs_hippo_rag,,,,state_accuracy,0,,insufficient_paired_observations,N/A
,,,csm_vs_long_context,,,,state_recovery_time,0,,insufficient_paired_observations,N/A
,,,csm_vs_rolling_summary,,,,state_recovery_time,0,,insufficient_paired_observations,N/A
,,,csm_vs_dense_rag,,,,state_recovery_time,0,,insufficient_paired_observations,N/A
,,,csm_vs_hybrid_rag,,,,state_recovery_time,0,,insufficient_paired_observations,N/A
,,,csm_vs_graph_rag,,,,state_recovery_time,0,,insufficient_paired_observations,N/A
,,,csm_vs_hippo_rag,,,,state_recovery_time,0,,insufficient_paired_observations,N/A
0.71875,0.26666666666666666,0.0,csm_vs_long_context,0.7302967433402215,0.13333333333333333,0.0,temporal_consistency,5,0.5,,computed
,0.2,0.0,csm_vs_rolling_summary,0.4472135954999579,0.06666666666666667,0.0,temporal_consistency,5,,,computed
,0.0,-0.2,csm_vs_dense_rag,-0.4472135954999579,-0.06666666666666667,0.0,temporal_consistency,5,,,computed
1.0,0.26666666666666666,-0.13333333333333333,csm_vs_hybrid_rag,0.23904572186687875,0.06666666666666667,0.0,temporal_consistency,5,1.0,,computed
1.0,0.26666666666666666,-0.13333333333333333,csm_vs_graph_rag,0.23904572186687875,0.06666666666666667,0.0,temporal_consistency,5,1.0,,computed
0.7098765432098766,0.26666666666666666,0.0,csm_vs_hippo_rag,0.7302967433402215,0.13333333333333333,0.0,temporal_consistency,5,0.5,,computed
1.2185838487413195e-05,-1254.9175,-1377.56125,csm_vs_long_context,-9.0202625460071,-1314.15,-1309.5,tokens_per_query,20,1.9073486328125e-06,,computed
1.1544478567023026e-05,-292.07125,-526.31375,csm_vs_rolling_summary,-1.3836355900417447,-407.75,-323.5,tokens_per_query,20,1.9073486328125e-06,,computed
0.00015354156494140625,-671.79875,-1033.7937499999998,csm_vs_dense_rag,-1.7361786821395242,-860.55,-963.0,tokens_per_query,20,4.00543212890625e-05,,computed
1.0967254638671875e-05,-636.7150000000001,-831.70125,csm_vs_hybrid_rag,-3.207959751154001,-732.5,-758.0,tokens_per_query,20,1.9073486328125e-06,,computed
1.0445004417782738e-05,-578.1125,-745.505,csm_vs_graph_rag,-3.2479114355292498,-655.65,-633.5,tokens_per_query,20,1.9073486328125e-06,,computed
9.970231489701705e-06,-560.7650000000001,-712.12875,csm_vs_hippo_rag,-3.3775613276722734,-636.1,-646.0,tokens_per_query,20,1.9073486328125e-06,,computed
9.5367431640625e-06,-0.00019749825000000003,-0.000256647,csm_vs_long_context,-3.3355995563565566,-0.00022553999999999999,-0.00021157499999999998,total_cost,20,1.9073486328125e-06,,computed
0.02831379572550456,-3.900750000000025e-06,-8.352862500000001e-05,csm_vs_rolling_summary,-0.4970832814990688,-4.5547500000000004e-05,-4.0724999999999973e-05,total_cost,20,0.01181793212890625,,computed
0.027735963159677933,-4.226925000000004e-05,-0.00015231975,csm_vs_dense_rag,-0.7095619486275135,-0.00010014750000000001,-0.00012734999999999998,total_cost,20,0.01181793212890625,,computed
0.027181243896484374,-4.3332187500000014e-05,-0.00013368525000000004,csm_vs_hybrid_rag,-0.8277459644893577,-8.841e-05,-9.48e-05,total_cost,20,0.01181793212890625,,computed
0.0013612298404469209,-4.939875000000005e-05,-0.0001330891875,csm_vs_graph_rag,-0.8820040613666029,-9.002250000000002e-05,-7.935e-05,total_cost,20,0.0004024505615234375,,computed
0.008009060009105786,-3.220987500000004e-05,-9.983625000000003e-05,csm_vs_hippo_rag,-0.8551020284426166,-6.850500000000002e-05,-8.647499999999997e-05,total_cost,20,0.0025768280029296875,,computed
0.2318548387096774,0.3,0.025,csm_vs_long_context,0.4566580617550222,0.15,-0.0,unsupported_claim_rate,20,0.125,,computed
0.7012195121951219,0.0,-0.2,csm_vs_rolling_summary,-0.3065225015493054,-0.075,-0.0,unsupported_claim_rate,20,0.5,,computed
1.0,0.10833333333333332,-0.09166666666666667,csm_vs_dense_rag,0.03686576197903288,0.008333333333333331,-0.0,unsupported_claim_rate,20,1.0,,computed
1.0,0.05,-0.15,csm_vs_hybrid_rag,-0.13923991921155665,-0.03333333333333334,-0.0,unsupported_claim_rate,20,1.0,,computed
0.6927710843373494,0.0,-0.2,csm_vs_graph_rag,-0.3065225015493054,-0.075,-0.0,unsupported_claim_rate,20,0.5,,computed
0.6845238095238095,0.0,-0.2,csm_vs_hippo_rag,-0.3065225015493054,-0.075,-0.0,unsupported_claim_rate,20,0.5,,computed
